date,price,vol
2019-11-01 08:55:00,989709.0,3290065954154.19
2019-11-01 09:00:00,988319.0,3288578774443.47
2019-11-01 09:05:00,986558.0,3269582475025.83
2019-11-01 09:10:00,986366.0,3269776721248.29
2019-11-01 09:15:00,987481.0,3275359788854.72
2019-11-01 09:20:00,986073.0,3270900934071.48
2019-11-01 09:25:00,984897.0,3268367275579.72
2019-11-01 09:30:00,985579.0,3237078630606.5
2019-11-01 09:35:00,984665.0,3181190997669.76
2019-11-01 09:40:00,985578.0,3275922404011.11
2019-11-01 09:45:00,984718.0,3273884136259.12
2019-11-01 09:50:00,985690.0,3277740476224.93
2019-11-01 09:55:00,986123.0,3249497134078.53
2019-11-01 10:00:00,985146.0,3197522595852.32
2019-11-01 10:05:00,985346.0,3227082535484.59
2019-11-01 10:10:00,986622.0,3261777510218.17
2019-11-01 10:15:00,987400.0,3266764904845.48
2019-11-01 10:20:00,986518.0,3232925541086.43
2019-11-01 10:25:00,985593.0,3230712420097.85
2019-11-01 10:30:00,984743.0,3229780652970.17
2019-11-01 10:35:00,985006.0,3124114642654.94
2019-11-01 10:40:00,984576.0,3229463578320.83
2019-11-01 10:45:00,985163.0,3231357207390.25
2019-11-01 10:50:00,984152.0,3230980333838.75
2019-11-01 10:55:00,983978.0,3231107881524.2
2019-11-01 11:00:00,984490.0,3229815932481.59
2019-11-01 11:05:00,984266.0,3229567131887.24
2019-11-01 11:10:00,984375.0,3223116183933.39
2019-11-01 11:15:00,984505.0,3218776695061.05
2019-11-01 11:20:00,982208.0,3219374764467.58
2019-11-01 11:25:00,985436.0,3231840254821.72
2019-11-01 11:30:00,983499.0,3224871976673.5
2019-11-01 11:35:00,981349.0,3227900482283.28
2019-11-01 11:40:00,982267.0,3226184886467.59
2019-11-01 11:45:00,982359.0,3228146497394.96
2019-11-01 11:50:00,981479.0,3229565025398.76
2019-11-01 11:55:00,983922.0,3243035311636.85
2019-11-01 12:00:00,988221.0,3265010197958.44
2019-11-01 12:05:00,986282.0,3251941361072.73
2019-11-01 12:10:00,983698.0,3249379509770.79
2019-11-01 12:15:00,982603.0,3247243930453.0
2019-11-01 12:20:00,983233.0,3231041612773.63
2019-11-01 12:25:00,982977.0,3200837397130.98
2019-11-01 12:30:00,981842.0,3247748412450.19
2019-11-01 12:35:00,979493.0,3236044558902.64
2019-11-01 12:40:00,981363.0,3254701481761.23
2019-11-01 12:45:00,980446.0,3232946581654.35
2019-11-01 12:50:00,981057.0,3183083640810.19
2019-11-01 12:55:00,982332.0,3281248064428.75
2019-11-01 13:00:00,980612.0,3275567755980.22
